ID,Destination,Accessibility,Cost(IDR),Attractions,Safety,Accommodation,Cultural
1,Gunung Bromo,1,1.100.000,9,10,1,4
2,Taman Mini,2,1.800.000,7,2,6,10
3,Goa Pindul,3,600.000,1,5,2,5
4,Kampoeng Banyumili,2,500.000,8,7,2,5
5,Pantai Klayar,3,300.000,7,3,10,4
6,Pantai Klayar,9,1.500.000,4,2,2,9
7,Hutan Pinus Mangunan,6,1.400.000,3,9,10,5
8,Pulau Derawan,1,1.200.000,10,2,9,3
9,Gili Trawangan,4,1.700.000,4,8,6,1
10,Pulau Komodo,5,1.300.000,5,10,1,4
11,Tanah Lot,2,400.000,9,6,4,4
12,Goa Pindul,2,500.000,1,10,1,3
13,Bukit Bintang,1,900.000,10,10,1,3
14,Safari Beach Jateng,7,1.600.000,5,4,8,5
15,Papuma Beach,3,900.000,4,7,9,4
16,Bali Safari,5,1.200.000,8,3,6,3
17,Bali Safari,6,1.400.000,2,6,5,1
18,Taman Nasional Ujung Kulon,6,400.000,7,3,9,6
19,Bali Safari,6,800.000,10,10,1,2
20,Pulau Weh,1,1.900.000,7,10,8,10
21,Museum Angkut,7,1.600.000,10,7,5,4
22,Taman Nasional Baluran,2,600.000,3,9,5,3
23,Pantai Pandawa,10,600.000,9,7,6,6
24,Taman Mini,7,1.300.000,3,6,7,5
25,Gunung Bromo,3,600.000,5,9,3,5
26,Labuan Bajo,7,1.000.000,6,2,9,5
27,Safari Beach Jateng,10,1.000.000,6,3,4,4
28,Gunung Bromo,9,1.000.000,9,1,8,8
29,Air Terjun Madakaripura,7,1.200.000,3,6,8,3
30,Safari Beach Jateng,2,1.500.000,4,9,1,4
31,Gili Trawangan,6,1.200.000,6,9,1,1
32,Tangkuban Perahu,10,1.500.000,3,10,10,7
33,Tangkuban Perahu,3,1.700.000,1,8,7,10
34,Tanah Lot,5,1.800.000,10,5,4,2
35,Goa Jomblang,8,600.000,9,7,3,9
36,Curug Ciherang,3,900.000,1,4,3,3
37,Benteng Rotterdam,10,1.000.000,3,8,6,5
38,Pantai Teluk Asmara,6,900.000,4,10,1,1
39,Pantai Menganti,5,1.600.000,5,2,9,8
40,Jatim Park,9,800.000,3,2,5,10
41,Curug Cimahi,2,1.300.000,8,7,1,7
42,Candi Prambanan,3,1.300.000,2,5,10,8
43,Pantai Balekambang,7,700.000,2,9,9,4
44,Jatim Park,10,1.800.000,2,7,4,7
45,Pulau Derawan,6,1.400.000,4,5,2,5
46,Museum Angkut,4,1.400.000,5,6,8,9
47,Danau Toba,5,1.800.000,3,2,1,9
48,Pantai Kuta,5,500.000,2,3,7,8
49,Pulau Derawan,6,300.000,5,2,6,1
50,Kepulauan Seribu,5,700.000,9,3,6,10
51,Wakatobi,7,1.300.000,3,5,2,6
52,Pulau Weh,2,300.000,6,6,10,8
53,Air Terjun Sipisopiso,1,1.600.000,2,8,3,2
54,Pulau Weh,6,1.300.000,4,6,5,6
55,Pantai Pandawa,9,1.700.000,9,9,4,4
56,Situ Patenggang,4,1.900.000,3,4,6,9
57,Pantai Klayar,2,1.700.000,3,10,5,8
58,Taman Nasional Baluran,1,900.000,3,10,2,2
59,Curug Cimahi,6,800.000,7,1,2,5
60,Hutan Pinus Mangunan,10,1.700.000,8,1,9,10
61,Candi Borobudur,5,1.800.000,1,4,3,5
62,Pantai Balekambang,8,1.000.000,3,7,9,8
63,Pantai Pandawa,5,1.200.000,3,7,6,9
64,Pulau Derawan,6,1.600.000,8,9,8,7
65,Air Terjun Sipisopiso,6,700.000,6,6,6,4
66,Pulau Komodo,6,900.000,6,7,9,1
67,Curug Ciherang,10,600.000,5,6,3,4
68,Hutan Pinus Mangunan,7,600.000,2,1,4,7
69,Pantai Parangtritis,3,700.000,4,1,5,9
70,Air Terjun Madakaripura,1,1.300.000,8,5,4,2
71,Tebing Breksi,9,700.000,5,7,3,4
72,Pulau Bintan,2,1.800.000,6,9,4,5
73,Pantai Tanjung Tinggi,1,500.000,9,5,4,9
74,Kawah Ijen,1,1.600.000,9,5,7,1
75,Pulau Bintan,10,400.000,6,1,4,1
76,Tebing Breksi,5,1.300.000,7,1,1,10
77,Nusa Penida,8,800.000,8,2,3,4
78,Gunung Bromo,2,1.700.000,6,6,4,6
79,Candi Borobudur,4,700.000,2,1,7,9
80,Pantai Parangtritis,3,700.000,9,8,5,5
81,Pulau Derawan,1,1.400.000,10,9,1,2
82,Pantai Teluk Asmara,6,1.600.000,6,7,10,9
83,Pantai Melasti,10,1.400.000,4,10,2,7
84,Nusa Penida,3,1.700.000,2,7,5,1
85,Pantai Kuta,6,700.000,4,4,8,7
86,Taman Nasional Baluran,4,600.000,6,2,2,9
87,Wakatobi,7,800.000,9,7,4,2
88,Danau Toba,9,1.100.000,5,10,1,6
89,Jatim Park,10,1.500.000,1,8,7,9
90,Gili Trawangan,3,1.900.000,8,4,8,4
91,Pantai Balekambang,4,600.000,5,6,1,8
92,Papuma Beach,4,800.000,6,1,1,7
93,Danau Toba,2,1.000.000,6,9,6,6
94,Taman Nasional Baluran,3,300.000,10,1,8,4
95,Gili Trawangan,6,400.000,7,3,9,2
96,Pantai Klayar,2,1.000.000,3,3,6,10
97,Pulau Bintan,8,1.300.000,4,6,1,8
98,Pantai Kuta,9,1.000.000,2,3,4,8
99,Tebing Breksi,9,700.000,4,2,1,9
100,Pantai Menganti,4,1.900.000,9,10,3,6
101,Pantai Pink,6,500.000,10,2,10,4
102,Dieng Plateau,7,1.100.000,5,2,1,4
103,Goa Jomblang,2,1.500.000,1,7,4,5
104,Pantai Kuta,9,600.000,9,8,5,3
105,Pantai Tanjung Tinggi,8,300.000,4,5,5,3
106,Taman Mini,7,1.800.000,9,9,2,7
107,Nusa Penida,2,500.000,7,3,3,7
108,Taman Mini,6,400.000,2,6,2,2
109,Nusa Penida,8,400.000,4,4,3,2
110,Gili Trawangan,7,800.000,9,1,10,3
111,Wakatobi,5,1.100.000,2,5,4,7
112,Pantai Pink,7,900.000,4,5,1,8
113,Tangkuban Perahu,10,1.100.000,1,4,10,3
114,Pantai Teluk Asmara,6,500.000,2,2,5,4
115,Kebun Raya Bogor,4,1.600.000,3,10,8,1
116,Situ Patenggang,10,900.000,10,1,8,1
117,Situ Patenggang,3,1.200.000,3,5,3,9
118,Pulau Derawan,1,600.000,3,10,8,8
119,Curug Cimahi,2,1.100.000,4,1,5,9
120,Raja Ampat,9,1.700.000,4,8,4,4
121,Hutan Pinus Mangunan,8,1.700.000,8,7,5,1
122,Gili Trawangan,9,1.900.000,3,1,7,1
123,Kepulauan Seribu,8,1.600.000,3,3,6,8
124,Pulau Weh,7,600.000,9,8,5,1
125,Wakatobi,1,1.800.000,6,8,1,9
126,Safari Beach Jateng,9,600.000,9,7,4,2
127,Taman Mini,3,700.000,3,4,9,1
128,Air Terjun Sipisopiso,6,600.000,3,1,10,7
129,Candi Prambanan,9,1.200.000,2,3,10,1
130,Hutan Pinus Mangunan,3,800.000,10,10,4,10
131,Pantai Pink,4,300.000,7,8,9,4
132,Museum Angkut,3,300.000,1,4,2,4
133,Pantai Balekambang,7,400.000,2,6,3,1
134,Kawah Ijen,8,1.600.000,5,2,7,7
135,Pantai Tanjung Tinggi,5,900.000,5,7,6,1
136,Pantai Teluk Asmara,8,800.000,9,3,5,8
137,Danau Toba,5,700.000,4,5,6,6
138,Air Terjun Sipisopiso,8,1.800.000,7,4,8,10
139,Tebing Breksi,9,1.200.000,10,2,10,10
140,Pulau Weh,10,400.000,9,9,8,10
141,Pantai Balekambang,1,400.000,2,4,8,9
142,Candi Prambanan,7,1.600.000,6,8,2,3
143,Nusa Penida,10,1.300.000,1,2,10,4
144,Gili Trawangan,9,1.200.000,3,10,8,6
145,Kawah Ijen,10,700.000,10,10,6,9
146,Pantai Balekambang,7,900.000,2,9,7,3
147,Pulau Komodo,1,1.600.000,6,7,7,3
148,Tangkuban Perahu,8,1.100.000,4,10,2,6
149,Candi Prambanan,6,800.000,4,8,3,9
150,Kawah Ijen,4,800.000,7,4,9,9
151,Pantai Teluk Asmara,1,1.700.000,6,2,1,6
152,Kawah Ijen,10,1.300.000,6,2,2,9
153,Museum Angkut,5,1.600.000,10,8,7,10
154,Kepulauan Seribu,3,900.000,3,7,9,1
155,Taman Safari,7,1.100.000,7,4,2,2
156,Taman Nasional Ujung Kulon,5,500.000,5,9,10,2
157,Pantai Pink,6,1.400.000,4,3,9,4
158,Candi Prambanan,9,1.700.000,8,5,9,2
159,Wakatobi,1,800.000,10,9,6,6
160,Kampoeng Banyumili,3,1.600.000,8,4,9,10
161,Tanah Lot,4,1.400.000,3,10,2,3
162,Hutan Pinus Mangunan,6,1.800.000,10,4,1,2
163,Candi Borobudur,2,1.800.000,1,3,1,7
164,Air Terjun Sipisopiso,2,1.000.000,7,10,3,6
165,Kebun Raya Bogor,5,1.600.000,6,2,1,3
166,Nusa Penida,8,1.000.000,3,7,2,8
167,Tangkuban Perahu,10,1.300.000,2,2,2,9
168,Dieng Plateau,10,1.300.000,8,6,5,10
169,Kebun Raya Bogor,1,1.800.000,10,5,8,8
170,Pantai Menganti,5,1.700.000,4,9,9,7
171,Candi Borobudur,2,1.400.000,4,8,8,3
172,Danau Toba,1,900.000,8,3,1,8
173,Situ Patenggang,4,700.000,4,8,1,1
174,Tebing Breksi,4,600.000,9,9,9,1
175,Benteng Rotterdam,3,1.500.000,1,3,4,1
176,Candi Borobudur,5,900.000,7,9,2,6
177,Danau Toba,4,1.700.000,6,7,9,3
178,Pulau Derawan,2,1.100.000,5,9,3,4
179,Tebing Breksi,8,700.000,5,4,2,1
180,Pantai Pandawa,9,1.300.000,3,10,5,7
181,Candi Prambanan,3,400.000,2,6,6,4
182,Gili Trawangan,10,700.000,5,4,9,6
183,Pulau Weh,8,400.000,9,9,10,5
184,Taman Nasional Baluran,8,1.300.000,8,4,8,2
185,Pulau Komodo,2,1.800.000,9,8,3,3
186,Pulau Bintan,9,500.000,1,10,4,2
187,Goa Pindul,10,900.000,2,3,7,8
188,Air Terjun Madakaripura,10,700.000,9,4,5,4
189,Gunung Bromo,7,600.000,8,5,5,7
190,Tangkuban Perahu,2,1.700.000,5,1,3,2
191,Curug Cimahi,3,1.300.000,1,6,5,10
192,Pantai Parangtritis,10,1.500.000,10,2,6,4
193,Pulau Bintan,3,1.700.000,3,10,1,7
194,Kampoeng Banyumili,6,800.000,10,1,4,2
195,Papuma Beach,6,1.500.000,9,1,8,4
196,Tebing Breksi,2,400.000,2,8,8,7
197,Taman Nasional Baluran,6,500.000,8,3,4,3
198,Tanah Lot,7,1.400.000,4,8,6,8
199,Papuma Beach,9,600.000,10,5,10,8
200,Pantai Kuta,7,1.500.000,9,5,5,6
